businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
"ANCHORAGE,AK (N)",WM Supercenter,3101 A ST,ANCHORAGE,ANCHORAGE,AK,99503-4050,2070,Yes,Available,Yes,Available
"ANCHORAGE, AK(S)",WM Supercenter,8900 OLD SEWARD HWY,ANCHORAGE,ANCHORAGE BOROUGH,AK,99515-2022,2071,,,Yes,Available
"GUAYAMA, PR",Wal-Mart,AVE. LOS VETERANOS KM 134.7,GUAYAMA,GUAYAMA,PR,00784-0000,2072,,,,
"BROOKLYN, OH",WM Supercenter,10000 BROOKPARK RD,CLEVELAND,CUYAHOGA,OH,44130-1102,2073,Yes,Available,Yes,Available
"WASILLA, AK",WM Supercenter,1350 S SEWARD MERIDIAN PKWY,WASILLA,MATANUSKA-SUSITNA BOROUGH,AK,99654-8332,2074,No,Not Available,No,Not Available
"BEND, OR",WM Supercenter,20120 PINEBROOK BLVD,BEND,DESCHUTES,OR,97702-2537,2075,No,,No,
"LAKE ELSINORE, CA",WM Supercenter,29260 CENTRAL AVE,LAKE ELSINORE,RIVERSIDE,CA,92532-2232,2077,Yes,,Yes,
"MARIETTA, OH",WM Supercenter,804 PIKE ST,MARIETTA,WASHINGTON,OH,45750-3503,2078,No,,Yes,
"MARQUETTE, MI",WM Supercenter,3225 US HIGHWAY 41 W,MARQUETTE,MARQUETTE,MI,49855-9495,2079,No,,Yes,Available
"BATTLE CREEK, MI",WM Supercenter,6020 B DR N,BATTLE CREEK,CALHOUN,MI,49014-8367,2080,No,,Yes,Available
"CLEARWATER, FL",WM Supercenter,23106 US HIGHWAY 19 N,CLEARWATER,PINELLAS,FL,33765-1849,2081,No,Available,Yes,Available
"CERRITOS, CA",WM Supercenter,12701 TOWNE CENTER DR,CERRITOS,LOS ANGELES,CA,90703-8545,2082,No,,Yes,
"MORGANTOWN, WV",WM Supercenter,75 RETAIL CIRCLE,MORGANTOWN,MONONGALIA,WV,26508-2528,2083,Yes,Available,Yes,Available
"BOZEMAN, MT",WM Supercenter,1500 N 7TH AVE,BOZEMAN,GALLATIN,MT,59715-2557,2084,No,,No,Available
"ISABELA, PR",Wal-Mart,3535 AVE MILITAR STE 193,ISABELA,ISABELA,PR,00662-4046,2085,,,No,
"PLANO, TX",WM Supercenter,1700 DALLAS PKWY,PLANO,COLLIN,TX,75093-4519,2086,No,Not Available,No,Not Available
"VADNAIS HTS, MN",WM Supercenter,850 EAST COUNTY RD E,VADNAIS HEIGHTS,RAMSEY,MN,55127-7117,2087,No,Not Available,Yes,Not Available
"BATAVIA, NY",WM Supercenter,4133 VETERANS MEMORIAL DR,BATAVIA,GENESEE,NY,14020-1253,2088,No,,Yes,Available
"BRISTOL, VA",WM Supercenter,13245 LEE HWY,BRISTOL,BRISTOL CITY,VA,24202-5963,2089,Yes,Available,Yes,Available
OZARK AR,Wal-Mart,1516 N 18TH ST,OZARK,FRANKLIN,AR,72949-3611,209,Yes,,Yes,
"FRANKLIN, NJ",Wal-Mart,230 STATE HIGHWAY,FRANKLIN,SUSSEX,NJ,07416-0000,2090,Yes,,Yes,
"MIAMI (AIRPORT), FL",WM Supercenter,8651 NW 13TH TER,DORAL,MIAMI-DADE,FL,33126-1512,2091,No,,Yes,
"OGDENSBURG, NY",Wal-Mart,3000 FORD STREET EXT,OGDENSBURG,ST. LAWRENCE,NY,13669-4480,2092,No,,No,
"UTICA, NY",WM Supercenter,710 HORATIO ST,UTICA,ONEIDA,NY,13502-1461,2093,No,Available,Yes,Available
"VISTA, CA",WM Supercenter,1800 UNIVERSITY DR,VISTA,SAN DIEGO,CA,92083-7700,2094,No,Available,No,Available
"WAREHAM, MA",WM Supercenter,15 TOBEY RD,WAREHAM,PLYMOUTH,MA,02571-1083,2095,No,Available,Yes,Available
"WARMINSTER, PA",WM Supercenter,100 E STREET RD,WARMINSTER,BUCKS,PA,18974-3400,2096,No,Available,No,Available
"HUDSON, NY",WM Supercenter,460 FAIRVIEW AVE,HUDSON,COLUMBIA,NY,12534-1018,2097,Yes,,Yes,
"COLUMBUS, OH (NE)",WM Supercenter,3900 MORSE RD,COLUMBUS,FRANKLIN,OH,43219-3016,2098,Yes,Available,Yes,Available
"PASO ROBLES, CA EF",Wal-Mart,180 NIBLICK RD,PASO ROBLES,SAN LUIS OBISPO,CA,93446-4842,2099,Yes,Available,Yes,Available
ST ROBERT MO /WAYNESVILLE,WM Supercenter,185 SAINT ROBERT BLVD,SAINT ROBERT,PULASKI,MO,65584-3311,21,Yes,,Yes,Available
HOLDENVILLE OK,Wal-Mart,500 EAST HIGHWAY 270,HOLDENVILLE,HUGHES,OK,74848-4238,210,No,,Yes,
"CHEBOYGAN, MI",WM Supercenter,1150 S MAIN ST,CHEBOYGAN,CHEBOYGAN,MI,49721-2223,2100,Yes,Available,Yes,Available
"KENNEWICK, WA",WM Supercenter,2720 S QUILLAN ST,KENNEWICK,BENTON,WA,99337-2404,2101,No,Available,Yes,Available
"LUDINGTON, MI",WM Supercenter,4854 W US HIGHWAY 10,LUDINGTON,MASON,MI,49431-8703,2102,No,,Yes,Available
"WALPOLE, MA",WM Supercenter,550 PROVIDENCE HWY,WALPOLE,NORFOLK,MA,02081-4231,2103,No,Available,Yes,Available
"NEWBURGH, NY",WM Supercenter,1201 ROUTE 300,NEWBURGH,ORANGE,NY,12550-5005,2104,Yes,Available,Yes,Available
"FARMERS BRANCH, TX",WM Supercenter,4122 L B J FWY,DALLAS,DALLAS,TX,75244-5703,2105,Yes,Available,Yes,Available
